Название избирательной комиссии	Название вышестоящей комиссии	ФИО	Статус	Кем предложен
Участковая избирательная комиссия №300	ТИК 14	Короткий Владимир Анатольевич	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №300	ТИК 14	Лисенков Олег Олегович	Член	Санкт-Петербургское региональное отделение политической партии "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №300	ТИК 14	Мальцева Ирина Викторовна	Член	Выборгское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии  "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №300	ТИК 14	Панова Алена Юрьевна	Член	Выборгское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
Участковая избирательная комиссия №300	ТИК 14	Седегова Вера Васильевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №300	ТИК 14	Собещанская Оксана Александровна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №301	ТИК 14	Харитонова Ирина Петровна	Председатель	представительный орган муниципального образования
Участковая избирательная комиссия №301	ТИК 14	Егорова Ольга Вячеславовна	Зам.председателя	собрание избирателей по месту работы
Участковая избирательная комиссия №301	ТИК 14	Белоплотова Наталья Вилльевна	Член	Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ "РОДИНА" в городе Санкт-Петербурге
Участковая избирательная комиссия №301	ТИК 14	Володькова Евгения Игоревна	Член	Выборгское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии  "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №301	ТИК 14	Дьячкова Татьяна Сергеевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №301	ТИК 14	Ефимов Александр Анатольевич	Член	Региональное отделение в Санкт-Петербурге Политической партии "Российская экологическая партия "Зелёные"
Участковая избирательная комиссия №301	ТИК 14	Киселева Ирина Владимировна	Член	Санкт-Петербургское региональное отделение Общероссийской политической партии "Народная партия "За женщин России"
Участковая избирательная комиссия №301	ТИК 14	Романенко Екатерина Юрьевна	Член	Региональное отделение в городе Санкт-Петербурге Политической партии "Гражданская Платформа"
Участковая избирательная комиссия №301	ТИК 14	Тихонов Александр Геннадьевич	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №301	ТИК 14	Тихонов Михаил Александрович	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №301	ТИК 14	Тихонова Татьяна Александровна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №301	ТИК 14	Филиппова Александра Юрьевна	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №302	ТИК 14	Чернышенко Алексей Юрьевич	Председатель	собрание избирателей по месту работы
Участковая избирательная комиссия №302	ТИК 14	Колесов Константин Юрьевич	Зам.председателя	собрание избирателей по месту работы
Участковая избирательная комиссия №302	ТИК 14	Лебедькова Светлана Геннадьевна	Секретарь	собрание избирателей по месту работы
Участковая избирательная комиссия №302	ТИК 14	Абукина Наталья Виторовна	Член	Выборгское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии  "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №302	ТИК 14	Белоусов Роман Владимирович	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №302	ТИК 14	Горбачев Владимир Александрович	Член	Выборгское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
Участковая избирательная комиссия №302	ТИК 14	Кузнецова Анфиса Геннадьевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №302	ТИК 14	Полещук Сергей Иванович	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №302	ТИК 14	Саюнов Иван Александрович	Член	Политическая партия "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №302	ТИК 14	Таланов Андрей Леонидович	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №302	ТИК 14	Тимофеева Валентина Николаевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №302	ТИК 14	Чехович Ирина Александровна	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №303	ТИК 14	Абдулкеримова Зарина Мурзабековна	Председатель	собрание избирателей по месту работы
Участковая избирательная комиссия №303	ТИК 14	Тлатова Залина Константинова	Зам.председателя	собрание избирателей по месту работы
Участковая избирательная комиссия №303	ТИК 14	Антипина Виктория Анатольевна	Секретарь	собрание избирателей по месту работы
Участковая избирательная комиссия №303	ТИК 14	Алексеева Мария Владиславовна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №303	ТИК 14	Исмаилова Патимат Гаджиевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №303	ТИК 14	Лапко Ольга Николаевна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №303	ТИК 14	Львов Вадим Андреевич	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №303	ТИК 14	Мазур Евгений Юрьевич	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №303	ТИК 14	Раупова Шахноза Абдураимовна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №303	ТИК 14	Саламатова Наталья Владимировна	Член	Политическая партия ЛДПР – Либерально-демократическая партия России
Участковая избирательная комиссия №303	ТИК 14	Сотман Даниил Копелевич	Член	Санкт-Петербургское региональное отделение политической партии "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №303	ТИК 14	Столович Татьяна Александровна	Член	Выборгское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
Участковая избирательная комиссия №304	ТИК 14	Федорова Любовь Адольфовна	Председатель	собрание избирателей по месту работы
Участковая избирательная комиссия №304	ТИК 14	Куликова Ирина Викторовна	Зам.председателя	собрание избирателей по месту работы
Участковая избирательная комиссия №304	ТИК 14	Хумарова Ирина Васильевна	Секретарь	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №304	ТИК 14	Кокорева Ольга Павловна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №304	ТИК 14	Кубатиева Александра Алановна	Член	Санкт-Петербургское региональное отделение политической партии "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №304	ТИК 14	Пятаков Андрей Петрович	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №304	ТИК 14	Резниченко Денис Владимирович	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №304	ТИК 14	Сахарова Татьяна Викторовна	Член	Выборгское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
Участковая избирательная комиссия №304	ТИК 14	Тимошинина Мария Сергеевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №304	ТИК 14	Ульянова Мария Ильинична	Член	Выборгское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии  "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №304	ТИК 14	Царева Людмила Федоровна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №304	ТИК 14	Янусик Анастасия Валерьевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №305	ТИК 14	Мушка Ольга Валерьевна	Председатель	собрание избирателей по месту работы
Участковая избирательная комиссия №305	ТИК 14	Лоскутова Анна Михайловна	Зам.председателя	собрание избирателей по месту работы
Участковая избирательная комиссия №305	ТИК 14	Ермакова Ангелина Вадимовна	Секретарь	собрание избирателей по месту работы
Участковая избирательная комиссия №305	ТИК 14	Виноградов Евгений Сергеевич	Член	Выборгское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
Участковая избирательная комиссия №305	ТИК 14	Вокуева Ольга Владимировна	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №305	ТИК 14	Жижка Наталья Петровна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №305	ТИК 14	Мельников Роман Владимирович	Член	Выборгское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии  "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №305	ТИК 14	Недвигин Александр Игоревич	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №305	ТИК 14	Осинцева Марина Валерьевна	Член	САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Участковая избирательная комиссия №305	ТИК 14	Павлов Виталий Вадимович	Член	Санкт-Петербургское региональное отделение политической партии "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №305	ТИК 14	Сайков Олег Витальевич	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №305	ТИК 14	Шкарлет Валентина Леонидовна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №306	ТИК 14	Ерохина Полина Ивановна	Председатель	собрание избирателей по месту работы
Участковая избирательная комиссия №306	ТИК 14	Морозова Марина Анатольевна	Зам.председателя	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №306	ТИК 14	Олехнович Наталья Николаевна	Секретарь	собрание избирателей по месту работы
Участковая избирательная комиссия №306	ТИК 14	Андреева Ксения Сергеевна	Член	Санкт-Петербургское региональное отделение политической партии "ПАТРИОТЫ РОССИИ"
Участковая избирательная комиссия №306	ТИК 14	Вагеник Ирина Юрьевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №306	ТИК 14	Гусев Владимир Игоревич	Член	Санкт-Петербургское региональное отделение политической партии "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №306	ТИК 14	Левина Ольга Вячеславовна	Член	Выборгское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
Участковая избирательная комиссия №306	ТИК 14	Паничкин Анатолий Викторович	Член	Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ "РОДИНА" в городе Санкт-Петербурге
Участковая избирательная комиссия №306	ТИК 14	Проскурина Марина Викторовна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №306	ТИК 14	Савелова Светлана Ивановна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №306	ТИК 14	Смирнова Людмила Александровна	Член	Выборгское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии  "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №306	ТИК 14	Тимофеевский Георгий Александрович	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №306	ТИК 14	Ярин Александр Анатольевич	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №307	ТИК 14	Ганночка Прасковья Михайловна	Председатель	собрание избирателей по месту работы
Участковая избирательная комиссия №307	ТИК 14	Колесникова Людмила Вячеславовна	Зам.председателя	Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №307	ТИК 14	Кулешова Ирина Владимировна	Секретарь	собрание избирателей по месту работы
Участковая избирательная комиссия №307	ТИК 14	Арустамова Ирина Николаевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №307	ТИК 14	Бурлак Юлия Петровна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №307	ТИК 14	Воробьева Ирина Владимировна	Член	Санкт-Петербургское региональное отделение политической партии "ПАТРИОТЫ РОССИИ"
Участковая избирательная комиссия №307	ТИК 14	Горбачев Александр Николаевич	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №307	ТИК 14	Канакова Наталия Васильевна	Член	Выборгское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
Участковая избирательная комиссия №307	ТИК 14	Крисятецкая Тамара Юрьевна	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №307	ТИК 14	Николаенко Оксана Сергеевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №307	ТИК 14	Парамзина Галина Анатольевна	Член	Политическая партия ЛДПР – Либерально-демократическая партия России
Участковая избирательная комиссия №307	ТИК 14	Рамазанов Артур Сергеевич	Член	Политическая партия "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №307	ТИК 14	Рождественская Екатерина Сергеевна	Член	Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ "РОДИНА" в городе Санкт-Петербурге
Участковая избирательная комиссия №308	ТИК 14	Рысина Кира Александровна	Председатель	собрание избирателей по месту работы
Участковая избирательная комиссия №308	ТИК 14	Савин Федор Михайлович	Зам.председателя	Выборгское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
Участковая избирательная комиссия №308	ТИК 14	Полещук Ирина Александровна	Секретарь	собрание избирателей по месту работы
Участковая избирательная комиссия №308	ТИК 14	Абраменкова Екатерина Симановна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №308	ТИК 14	Воронцов Семён Вадимович	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №308	ТИК 14	Гусева Любовь Анатольевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №308	ТИК 14	Деткова Ольга Юрьевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №308	ТИК 14	Ердяков Александр Александрович	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №308	ТИК 14	Еремина Светлана Ивановна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №308	ТИК 14	Жилина Ольга Владимировна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №308	ТИК 14	Малькова Анастасия Александровна	Член	Выборгское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии  "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №308	ТИК 14	Никитин Андрей Сергеевич	Член	Политическая партия "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №308	ТИК 14	Пузыня Людмила Евгеньевна	Член	Санкт-Петербургское региональное отделение политической партии "ПАТРИОТЫ РОССИИ"
Участковая избирательная комиссия №309	ТИК 14	Чесский Вадим Леонидович	Председатель	собрание избирателей по месту работы
Участковая избирательная комиссия №309	ТИК 14	Трунов Павел Владимирович	Зам.председателя	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №309	ТИК 14	Исиченко Айгуль Закиевна	Секретарь	собрание избирателей по месту работы
Участковая избирательная комиссия №309	ТИК 14	Базин Даниил Александрович	Член	Выборгское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
Участковая избирательная комиссия №309	ТИК 14	Головкина Алёна Викторовна	Член	Выборгское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии  "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №309	ТИК 14	Евдокикомова Валентина Владимировна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №309	ТИК 14	Кушнир Мария Викторовна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №309	ТИК 14	Прозоркина Кира Владимировна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №309	ТИК 14	Решетников Андрей Сергеевич	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №309	ТИК 14	Ривкинд Надежда Владимировна	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №310	ТИК 14	Ладяева Надежда Николаевна	Председатель	собрание избирателей по месту работы
Участковая избирательная комиссия №310	ТИК 14	Наплавкова Мария Игоревна	Зам.председателя	собрание избирателей по месту работы
Участковая избирательная комиссия №310	ТИК 14	Велибекова Индира Рауфовна	Секретарь	собрание избирателей по месту работы
Участковая избирательная комиссия №310	ТИК 14	Аристова Светлана Степановна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №310	ТИК 14	Битюков Валерий Михайлович	Член	Выборгское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии  "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №310	ТИК 14	Бодрицкая Екатерина Алексеевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №310	ТИК 14	Котова Мария Сергеевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №310	ТИК 14	Левитин Евгений Александрович	Член	Санкт-Петербургское региональное отделение политической партии "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №310	ТИК 14	Меркулова Ольга Васильевна	Член	Выборгское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
Участковая избирательная комиссия №310	ТИК 14	Рассказова Юлия Андреевна	Член	Региональное отделение в городе Санкт-Петербурге Политической партии "Гражданская Платформа"
Участковая избирательная комиссия №310	ТИК 14	Савченко Надежда Сергеевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №310	ТИК 14	Сапожникова Светлана Владимировна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №310	ТИК 14	Царева Екатерина Андреевна	Член	Санкт-Петербургское региональное отделение Общероссийской политической партии "Народная партия "За женщин России"
Участковая избирательная комиссия №311	ТИК 14	Юдина Татьяна Николаевна	Председатель	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №311	ТИК 14	Шарипов Игорь Мансурович	Зам.председателя	собрание избирателей по месту работы
Участковая избирательная комиссия №311	ТИК 14	Янбухтин Эльдар Кайюмович	Секретарь	собрание избирателей по месту учебы
Участковая избирательная комиссия №311	ТИК 14	Антонова Надежда Михайловна	Член	Выборгское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
Участковая избирательная комиссия №311	ТИК 14	Бакулин Евгений Владиславович	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №311	ТИК 14	Денисова Наталья Михайловна	Член	САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Участковая избирательная комиссия №311	ТИК 14	Лучина Светлана Александровна	Член	САНКТ-ПЕТЕРБУРГСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ Политической партии СОЦИАЛЬНОЙ ЗАЩИТЫ
Участковая избирательная комиссия №311	ТИК 14	Седунов Александр Владимирович	Член	Санкт-Петербургское региональное отделение политической партии "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №311	ТИК 14	Усачева Людмила Ивановна	Член	Региональное отделение в городе Санкт-Петербурге Политической партии "Гражданская Платформа"
Участковая избирательная комиссия №311	ТИК 14	Шарипова Оксана Олеговна	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №311	ТИК 14	Яковлева Татьяна Ильинична	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №311	ТИК 14	Янбухтина Елена Евгеньевна	Член	Санкт-Петербургское региональное отделение Всероссийской политической партии "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №311	ТИК 14	Янбухтина Наталия Ивановна	Член	Санкт-Петербургское региональное отделение Общероссийской политической партии "Народная партия "За женщин России"
Участковая избирательная комиссия №312	ТИК 14	Виноградова Наталья Валерьевна	Председатель	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №312	ТИК 14	Мишакова Полина Александровна	Зам.председателя	собрание избирателей по месту работы
Участковая избирательная комиссия №312	ТИК 14	Севастьянова Наталья Юрьевна	Секретарь	собрание избирателей по месту работы
Участковая избирательная комиссия №312	ТИК 14	Анфилатова Елена Валерьевна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №312	ТИК 14	Вешнякова Ирина Васильевна	Член	Выборгское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
Участковая избирательная комиссия №312	ТИК 14	Данилова Елена Михайловна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №312	ТИК 14	Кан Анна Александровна	Член	Санкт-Петербургское региональное отделение политической партии "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №312	ТИК 14	Лавренов Сергей Сергеевич	Член	Выборгское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии  "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №312	ТИК 14	Поганкина Ольга Сергеевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №312	ТИК 14	Сычева Елена Евгеньевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №312	ТИК 14	Уфимцева Елена Владиславовна	Член	Общероссийская политическая партия "Народная партия "За женщин России"
Участковая избирательная комиссия №312	ТИК 14	Учаева Ольга Васильевна	Член	Региональное отделение в городе Санкт-Петербурге Политической партии "Гражданская Платформа"
Участковая избирательная комиссия №313	ТИК 14	Егорова Татьяна Викторовна	Председатель	представительный орган муниципального образования
